question_id,subject,relation,object,question,subject_name
39,m.01pm4nb,music/artist/label,m.01rww3,Which label is somevelvetsidewalk signed to,some velvet sidewalk
64,m.062s9s,location/location/events,m.08w4qg,which event took place in italia (roman empire),roman italy
141,m.04j25xy,media_common/netflix_title/netflix_genres,m.03spz,what is passover fever movie about,
228,m.0jy1pqp,time/time_zone/locations_in_this_time_zone,m.02_9n,what is the name of a location in brasília standard time,brt||brasília time zone||brasilia time zone
230,m.0y9w_wv,common/topic/notable_types,m.09jd9nh,what notable type is stay,
265,m.0h2h44p,people/person/nationality,m.03rk0,what is nainika's nationality,nainika durairaj
270,m.0f4m7hs,music/release/region,m.09c7w0,in what region of the world was days of thunder released?,days of thunder: music from the motion picture soundtrack
284,m.0gf7ssk,film/film/country,m.03rjj,what country is dracula in brianza from,"dracula in the provinces||young dracula||the demonic womanizer costante nicosia, or: dracula in brianza||il cav. costante nicosia demoniaco, ovvero: dracula in brianza"
360,m.05bdd4q,people/person/profession,m.04gc2,Name a lawyer. ,charlie herschel||charles herschel
413,m.01rrs9n,music/album/genre,m.016_rm,what genre of music is locd out,loc'd out
502,m.0gsykds,film/film/language,m.05zjd,what language was used in the film samba riachao,
571,m.0dwvjq0,music/release/region,m.0345h,Where was the best of david bowie 1974-1979 released?,
574,m.0kyp_wz,cvg/game_version/publisher,m.01n073,which company released tiger woods pga tour 07?,
577,m.03_fby,people/person/gender,m.02zsn,what is cassiesteele's gender?,cassandra rae \"cassie\" steele||cassie steele||cassandra rae steele||cassandra samantha steele
589,m.0bbc29p,people/person/gender,m.05zppz,What is Roger Molliens gender?,
741,m.03f3bp7,music/artist/genre,m.0190xp,what is the genre of gusgofficial,kostas karamitroudis||gus g.
771,m.03yvtl5,film/producer/films_executive_produced,m.06zpsmp,Which film did greg aronowitz executively produce,
779,m.05qdh,visual_art/visual_art_form/artists,m.064q64f,who is russian jewish painter,painting
1048,m.027pcsh,music/album/genre,m.02x8m,What type of music is on the album greatest hits - history volume i,
1113,m.05zlj4w,film/film/country,m.059j2,Which country is the film sjors en sjimmie en de gorilla from,
1176,m.01sjng,cvg/cvg_genre/games,m.02vvmf7,which game is racing game,racing video game
